,name,position,team,value,total_points,xP,goals_scored,assists,goals_conceded,expected_goals,expected_assists,expected_goal_involvements,influence,creativity,threat,minutes,was_home,opponent_team,tr_total_points,tr_xP,tr_goals_scored,tr_assists,tr_goals_conceded,tr_expected_goals,tr_expected_assists,tr_expected_goal_involvements,tr_influence,tr_creativity,tr_threat,tr_minutes
558,Willy_Boly_423,,,46,-3,,0,0,3,,,,0.0,0.0,4.0,18,False,13,,,,,,,,,,,,0
316,Kepa_Arrizabalaga_498,,,56,2,,0,0,1,,,,7.4,0.0,0.0,90,True,15,,,,,,,,,,,,0
374,Mathias_Jorgensen_195,,,44,6,,0,0,0,,,,16.2,10.8,8.0,90,False,5,,,,,,,,,,,,0
503,Shinji_Okazaki_235,,,52,0,,0,0,0,,,,0.0,0.0,0.0,0,True,16,,,,,,,,,,,,0
380,Matt_Doherty_425,,,52,1,,0,0,3,,,,24.8,0.3,2.0,90,False,13,,,,,,,,,,,,0
372,Mateo_Kovacic_499,,,58,2,,0,0,1,,,,6.4,3.3,8.0,62,True,15,,,,,,,,,,,,0
338,Loris_Karius_238,,,49,0,,0,0,0,,,,0.0,0.0,0.0,0,False,3,,,,,,,,,,,,0
35,Anders_Lindegaard_485,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,True,9,,,,,,,,,,,,0
273,Joe_Powell_547,,,45,0,,0,0,0,,,,0.0,0.0,0.0,0,True,1,,,,,,,,,,,,0
128,Daley_Blind_290,,,50,0,,0,0,0,,,,0.0,0.0,0.0,0,False,17,,,,,,,,,,,,0
58,Arthur_Masuaku_410,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,True,1,,,,,,,,,,,,0
152,Davy_Klaassen_171,,,60,0,,0,0,0,,,,0.0,0.0,0.0,0,True,2,,,,,,,,,,,,0
11,Adama_Traoré_500,,,52,1,,0,0,1,,,,11.4,2.4,22.0,45,False,13,,,,,,,,,,,,0
292,Jose Luis_Mato Sanmartín_327,,,48,0,,0,0,0,,,,0.0,0.0,0.0,0,False,6,,,,,,,,,,,,0
250,James_Ward-Prowse_338,,,50,9,,1,0,1,,,,56.6,43.3,17.0,90,False,11,,,,,,,,,,,,0
307,Junior_Stanislas_36,,,60,2,,0,0,1,,,,15.4,16.6,7.0,67,False,8,,,,,,,,,,,,0
502,Shane_Long_347,,,47,12,,1,1,1,,,,27.2,2.5,32.0,75,False,11,,,,,,,,,,,,0
25,Alexis_Sánchez_295,,,100,0,,0,0,0,,,,0.0,0.0,0.0,0,False,17,,,,,,,,,,,,0
148,David_De Gea_282,,,57,12,,0,0,0,,,,79.4,0.0,0.0,90,False,17,,,,,,,,,,,,0
185,Fabian_Schär_482,,,46,0,,0,0,0,,,,0.0,0.0,0.0,0,False,6,,,,,,,,,,,,0
117,Ciaran_Clark_311,,,45,8,,1,0,2,,,,42.0,0.6,17.0,90,False,6,,,,,,,,,,,,0
15,Ademola_Lookman_170,,,51,6,,0,1,0,,,,31.6,30.0,38.0,90,True,2,,,,,,,,,,,,0
370,Mason_Holgate_160,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,True,2,,,,,,,,,,,,0
104,Charlie_Austin_348,,,55,0,,0,0,0,,,,0.0,0.0,0.0,0,False,11,,,,,,,,,,,,0
264,Jeff_Hendrick_78,,,52,11,,0,2,1,,,,13.2,3.3,19.0,90,True,9,,,,,,,,,,,,0
518,Steve_Mounie_211,,,58,2,,0,0,0,,,,7.4,13.5,57.0,86,False,5,,,,,,,,,,,,0
555,Wilfred_Ndidi_227,,,49,8,,1,0,2,,,,36.4,4.3,30.0,90,True,16,,,,,,,,,,,,0
422,Omar_Bogle_108,,,45,0,,0,0,0,,,,0.0,0.0,0.0,0,True,10,,,,,,,,,,,,0
99,Calum_Chambers_9,,,42,0,,0,0,2,,,,11.2,13.0,17.0,90,False,4,,,,,,,,,,,,0
535,Tom_Davies_169,,,51,0,,0,0,0,,,,0.0,0.0,0.0,0,True,2,,,,,,,,,,,,0
323,Konstantinos_Mavropanos_10,,,47,0,,0,0,0,,,,0.0,0.0,0.0,0,False,19,,,,,,,,,,,,0
303,Juan_Foyth_549,,,50,0,,0,0,0,,,,0.0,0.0,0.0,0,True,14,,,,,,,,,,,,0
301,José_Holebas_378,,,48,7,,0,1,1,,,,39.4,44.4,0.0,90,False,7,,,,,,,,,,,,0
133,Danilo Luiz_da Silva_266,,,51,6,,0,0,0,,,,17.2,53.7,10.0,90,True,20,,,,,,,,,,,,0
70,Barry_Douglas_424,,,50,0,,0,0,0,,,,0.0,0.0,0.0,0,False,13,,,,,,,,,,,,0
208,Georginio_Wijnaldum_252,,,55,3,,0,0,0,,,,11.8,6.2,3.0,90,False,3,,,,,,,,,,,,0
378,Matthew_Lowton_69,,,46,0,,0,0,0,,,,0.0,0.0,0.0,0,True,9,,,,,,,,,,,,0
337,Lewis_Dunk_48,,,45,2,,0,0,1,,,,20.6,0.3,2.0,90,True,12,,,,,,,,,,,,0
65,Asmir_Begovic_24,,,44,1,,0,0,2,,,,2.6,0.0,0.0,90,False,8,,,,,,,,,,,,0
16,Adrian_Mariappa_382,,,42,2,,0,0,1,,,,29.2,0.2,0.0,90,False,7,,,,,,,,,,,,0
395,Mohamed_Diamé_319,,,48,0,,0,0,0,,,,0.0,0.0,0.0,0,False,6,,,,,,,,,,,,0
280,Jonathan_Castro Otto_483,,,43,1,,0,0,3,,,,20.0,10.8,2.0,90,False,13,,,,,,,,,,,,0
225,Heurelho_Gomes_373,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,False,7,,,,,,,,,,,,0
224,Heung-Min_Son_367,,,88,2,,0,0,1,,,,10.8,28.9,39.0,90,True,14,,,,,,,,,,,,0
124,Cuco_Martina_163,,,45,0,,0,0,0,,,,0.0,0.0,0.0,0,True,2,,,,,,,,,,,,0
177,Eric_Bailly_291,,,50,0,,0,0,0,,,,0.0,0.0,0.0,0,False,17,,,,,,,,,,,,0
513,Stephan_Lichtsteiner_11,,,45,0,,0,0,0,,,,0.0,0.0,0.0,0,False,19,,,,,,,,,,,,0
