assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,0,223723,None,,0,0,-1,1,0.0,538,196,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Tomiyasu,0.0,546,194,0,0,0,0.0,546,196,22,False,0.0,539,196,0,Knee injury - Unknown return date,2024-08-12T14:30:04.404182Z,49,313,39,0,0,None,0,,223723.jpg,0.0,546,194,0,0,0,Takehiro,0.1,517,181,False,None,0,0,i,1,3,0.0,509,191,0,96,47,3849,882,0.0,0.0,Tomiyasu,0
0,1,27,None,None,0,0.0,116216,4,,0,0,-1,1,0.8,285,163,None,,0,3,5.0,5.0,7,0.02,0.05,0.20,0.51,0.18,0.31,0.8,0.46,Leandro,4.0,80,36,0,0.0,1,6.5,111,70,23,False,37.8,86,36,35,,None,69,34,18,0,0,None,0,,116216.jpg,4.0,83,37,0,0,0.0,Trossard,2.0,143,48,False,None,0,0.0,a,1,3,26.0,79,50,8,33235,29795,62650,15808,0.6,1.2,Trossard,0
0,0,45,None,None,2,1.0,198869,None,,0,0,0,0,8.1,181,51,None,,0,2,7.0,7.0,6,0.08,0.04,0.15,0.08,0.07,1.75,0.88,0.04,Benjamin,6.0,33,10,0,0.0,0,3.5,210,70,24,False,15.0,208,83,180,,None,65,46,2,0,0,None,0,,198869.jpg,6.0,37,12,0,0,0.0,White,9.8,46,15,False,None,2,1.0,a,1,3,12.0,129,24,12,45652,26620,103366,49707,0.9,1.8,White,0
0,0,22,None,None,1,1.32,206325,None,,0,0,0,0,4.9,196,58,None,,0,2,4.0,4.0,0,0.04,0.05,0.04,0.05,0.00,0.32,0.42,0.0,Oleksandr,3.0,104,39,0,0.0,0,1.8,266,89,25,False,7.2,254,94,68,,None,50,216,23,0,0,None,0,,206325.jpg,6.0,30,8,0,0,0.0,Zinchenko,2.9,111,40,False,None,1,1.32,a,1,3,6.0,174,45,6,58301,12298,72065,49675,0.6,1.2,Zinchenko,0
0,0,2,None,None,0,0.0,466075,None,,0,0,-1,1,0.0,614,205,None,,0,2,1.5,1.5,1,0.00,0.0,0.00,0.0,0.00,0.16,1.31,0.0,Riccardo,0.5,326,103,0,0.0,0,0.0,614,205,578,False,0.4,322,106,11,,None,59,95,9,0,0,None,0,,466075.jpg,1.0,307,94,0,0,0.0,Calafiori,1.9,147,54,False,None,0,0.0,a,1,3,0.0,609,204,1,7356,3289,77653,26789,0.1,0.2,Calafiori,0
0,0,0,None,None,0,0,499169,None,,0,0,0,0,0.0,496,207,None,,0,3,1.0,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Myles,0.0,503,207,0,0,0,0.0,504,206,597,False,0.0,496,199,0,,None,45,477,253,0,0,None,0,,499169.jpg,0.0,503,207,0,0,0,Lewis-Skelly,0.0,535,221,False,None,0,0,a,1,3,0.0,461,183,0,1476,734,1148,637,0.0,0.0,Lewis-Skelly,0
0,0,11,None,None,0,0.0,215711,3,,0,0,0,0,45.0,41,35,4,,0,3,2.0,0.5,2,0.23,0.13,0.48,0.27,0.25,2.26,1.25,0.14,Leon,1.5,213,112,3,1.66,0,8.8,74,50,28,False,14.6,210,91,163,,None,65,49,30,0,0,None,0,,215711.jpg,1.5,218,114,0,0,0.0,Bailey,3.2,103,33,False,None,2,1.1,a,2,7,30.0,66,41,3,53213,37614,96368,43003,0.2,0.5,Bailey,1
0,0,2,None,None,0,0.0,88894,None,,0,0,-1,1,1.6,258,149,None,,0,3,1.0,-0.5,1,0.01,0.06,0.03,0.19,0.02,0.38,2.44,0.13,Ross,0.5,317,162,1,6.43,0,0.2,324,166,29,False,0.0,589,261,14,,None,54,151,92,0,0,None,0,,88894.jpg,1.0,289,150,0,0,0.0,Barkley,0.6,226,78,False,None,0,0.0,a,2,7,1.0,255,145,1,3830,1304,26294,8785,0.1,0.2,Barkley,0
0,0,0,None,None,0,0,491287,None,,0,0,0,0,0.0,581,261,None,,0,3,0.5,-1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Enzo,0.0,580,260,0,0,0,0.0,583,261,30,False,0.0,576,255,0,,None,50,273,175,0,0,None,0,,491287.jpg,0.0,580,260,0,0,0,Barrenechea,0.1,511,203,False,None,0,0,a,2,7,0.0,566,252,0,743,380,1742,788,0.0,0.0,Barrenechea,0
0,0,0,None,None,0,0,195546,None,,-1,1,-1,1,0.0,596,268,None,,0,3,0.5,-1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Emiliano,0.0,595,267,0,0,0,0.0,599,268,31,False,0.0,594,263,0,,None,54,161,98,0,0,None,0,,195546.jpg,0.0,595,267,0,0,0,Buendía Stati,0.1,431,156,False,None,0,0,a,2,7,0.0,585,262,0,1247,709,4407,1790,0.0,0.0,Buendia,0
