,gw,name,position,team,value,total_points,xP,goals_scored,assists,goals_conceded,expected_goals,expected_assists,expected_goal_involvements,influence,creativity,threat,starts,clean_sheets,saves,minutes,was_home,opponent_team,tr_total_points,tr_xP,tr_goals_scored,tr_assists,tr_goals_conceded,tr_expected_goals,tr_expected_assists,tr_expected_goal_involvements,tr_influence,tr_creativity,tr_threat,tr_starts,tr_clean_sheets,tr_saves,tr_minutes
207,2024-25-1,Harrison Armstrong,MID,Everton,45,0,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,5,,,,,,,,,,,,,,,0.0
218,2024-25-1,Hwang Hee-chan,MID,Wolves,65,2,1.5,0,0,2,0.0,0.11,0.11,6.0,16.3,4.0,1,0,0,90,False,1,0.040194884287454324,0.02679658952496955,0.00243605359317905,0.001218026796589525,0.0194884287454324,0.0024116930572472594,0.0011814859926918392,0.003593179049939099,0.14226552984165652,0.0851400730816078,0.28258221680876977,0.012180267965895249,0.00243605359317905,0.0,41.05
510,2024-25-1,Romain Faivre,MID,Bournemouth,50,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,16,0.10810810810810811,0.17567567567567569,0.0,0.0,0.02702702702702703,0.004054054054054054,0.0008108108108108108,0.0048648648648648655,0.13513513513513514,0.06756756756756757,0.35135135135135137,0.0,0.0,0.0,1.9473684210526316
611,2024-25-1,Yves Bissouma,MID,Spurs,50,0,4.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,11,0.023282887077997673,0.0330616996507567,0.0,0.0,0.020954598370197905,0.00026775320139697323,0.0005471478463329453,0.0008149010477299186,0.17438882421420257,0.13911525029103608,0.023282887077997673,0.012805587892898719,0.0011641443538998836,0.0,42.95
226,2024-25-1,Igor Julio dos Santos de Paulo,DEF,Brighton,45,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,8,0.02453385672227674,0.026202158979391564,0.0,0.0,0.015701668302257114,0.00014720314033366048,0.00033366045142296373,0.00048086359175662416,0.17998037291462218,0.0703631010794897,0.012757605495583905,0.009813542688910697,0.001962708537782139,0.0,50.95
596,2024-25-1,Will Alves,MID,Leicester,45,0,-0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,18,,,,,,,,,,,,,,,0.0
590,2024-25-1,Wes Burns,MID,Ipswich,50,0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.8,2.0,1,0,0,56,True,12,,,,,,,,,,,,,,,0.0
315,2024-25-1,JuliÃ¡n Ãlvarez,FWD,Man City,70,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,6,0.059388646288209605,0.1006113537117904,0.005240174672489083,0.0026200873362445414,0.0069868995633187774,0.006620087336244542,0.0014672489082969433,0.008087336244541483,0.2922270742358079,0.3092576419213974,0.49868995633187774,0.011353711790393014,0.005240174672489083,0.0,54.523809523809526
367,2024-25-1,Lucas Bergvall,MID,Spurs,45,1,1.0,0,0,0,0.06,0.14,0.2,11.8,19.4,5.0,0,0,0,12,False,11,,,,,,,,,,,,,,,0.0
500,2024-25-1,Richarlison de Andrade,FWD,Spurs,70,1,1.0,0,0,0,0.19,0.0,0.19,0.0,1.0,7.0,0,0,0,1,False,11,0.08755760368663594,0.09185867895545316,0.009216589861751152,0.0015360983102918587,0.015360983102918587,0.007204301075268818,0.0006605222734254993,0.007864823348694316,0.43317972350230416,0.1436251920122888,0.5576036866359447,0.010752688172043012,0.0015360983102918587,0.0,32.55
189,2024-25-1,FÃ¡bio Ferreira Vieira,MID,Arsenal,55,0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,20,0.05555555555555555,0.3333333333333333,0.0,0.0,0.0,0.000925925925925926,0.005370370370370371,0.006296296296296296,0.06296296296296296,0.4666666666666667,0.14814814814814814,0.0,0.0,0.0,2.7
564,2024-25-1,Tommy Doyle,MID,Wolves,50,0,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,1,0.02885682574916759,0.027857935627081023,0.0,0.0,0.01997780244173141,0.00036625971143174253,0.0004439511653718091,0.0008102108768035518,0.1504994450610433,0.1437291897891232,0.04328523862375139,0.009988901220865706,0.0022197558268590455,0.0,45.05
540,2024-25-1,Simon Adingra,MID,Brighton,55,6,5.0,1,0,0,0.17,0.05,0.22,39.6,6.5,26.0,0,0,0,45,False,8,0.037037037037037035,0.03135228251507321,0.0017226528854435831,0.0,0.013781223083548665,0.0016365202411714038,0.001937984496124031,0.0035745047372954353,0.1789836347975883,0.21722652885443583,0.35658914728682173,0.01119724375538329,0.0034453057708871662,0.0,58.05
64,2024-25-1,Bernardo Veiga de Carvalho e Silva,MID,Man City,65,6,5.5,0,1,0,0.13,0.2,0.33,32.0,38.1,30.0,1,1,0,90,False,6,0.05221745350500715,0.06838340486409156,0.000715307582260372,0.005007153075822604,0.006437768240343348,0.0015021459227467812,0.0028183118741058654,0.004320457796852647,0.2516452074391988,0.3936337625178827,0.21816881258941345,0.011444921316165951,0.005722460658082976,0.0,66.57142857142857
372,2024-25-1,Luis Sinisterra,MID,Bournemouth,50,2,1.0,0,0,1,0.15,0.02,0.17,7.0,1.8,23.0,1,0,0,63,False,16,0.04392764857881137,0.05219638242894057,0.0,0.002583979328165375,0.028423772609819122,0.0029457364341085282,0.0013436692506459949,0.004289405684754523,0.2315245478036176,0.38785529715762274,0.5322997416020672,0.015503875968992248,0.0,0.0,18.428571428571427
121,2024-25-1,Daichi Kamada,MID,Crystal Palace,55,1,1.0,0,0,1,0.0,0.06,0.06,7.8,25.0,4.0,1,0,0,69,False,4,,,,,,,,,,,,,,,0.0
316,2024-25-1,JurriÃ«n Timber,DEF,Arsenal,55,1,4.5,0,0,0,0.02,0.01,0.03,0.0,0.8,8.0,0,0,0,21,True,20,0.0,0.10476190476190476,0.0,0.0,0.0,0.0,0.0004761904761904762,0.0004761904761904762,0.10476190476190476,0.10952380952380951,0.09523809523809523,0.0,0.0,0.0,2.1
